cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3548401,Santópolis do Aguapeí,Birigui,Araçatuba,3899,97802.0,0.74,4.08,,,
3548500,Santos,Santos,Metropolitana de São Paulo,418608,30961718.0,0.84,73.92,,,
3548609,São Bento do Sapucaí,Campos do Jordão,Vale do Paraíba Paulista,11674,354768.0,0.72,41.9,,,
3548708,São Bernardo do Campo,São Paulo,Metropolitana de São Paulo,810729,71965791.0,0.805,54.12,,,
3548807,São Caetano do Sul,São Paulo,Metropolitana de São Paulo,165655,22553448.0,0.862,0.0,,,
3548906,São Carlos,São Carlos,Araraquara,254857,18386920.0,0.805,20.45,,,
3549003,São Francisco,Jales,São José do Rio Preto,2602,59556.0,0.723,3.45,,,
3549102,São João da Boa Vista,São João da Boa Vista,Campinas,92547,5011181.0,0.797,15.25,,,
3549201,São João das Duas Pontes,Fernandópolis,São José do Rio Preto,2580,72713.0,0.72,6.81,,,
3549250,São João de Iracema,Auriflama,São José do Rio Preto,1846,69614.0,0.748,12.32,,,
3549300,São João do Pau d'Alho,Dracena,Presidente Prudente,2242,83376.0,0.75,2.91,,,
3549409,São Joaquim da Barra,São Joaquim da Barra,Ribeirão Preto,48558,2733786.0,0.762,7.85,,,
3549508,São José da Bela Vista,Franca,Ribeirão Preto,7626,336022.0,0.693,11.56,,,
3549607,São José do Barreiro,Bananal,Vale do Paraíba Paulista,3853,80553.0,0.684,63.09,,,
3549706,São José do Rio Pardo,São João da Boa Vista,Campinas,52205,2876973.0,0.774,15.21,,,
3549805,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,480393,26390121.0,0.797,6.21,,,
3549904,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista,697054,61394524.0,0.807,30.56,,,
3549953,São Lourenço da Serra,Itapecerica da Serra,Metropolitana de São Paulo,16067,346115.0,0.728,83.58,,,
3550001,São Luiz do Paraitinga,Paraibuna/Paraitinga,Vale do Paraíba Paulista,10337,252579.0,0.697,39.53,,,
3550100,São Manuel,Botucatu,Bauru,37289,1889877.0,0.744,9.37,,,
3550209,São Miguel Arcanjo,Piedade,Macro Metropolitana Paulista,32039,1157726.0,0.71,27.1,,,
3550308,São Paulo,São Paulo,Metropolitana de São Paulo,11451999,1066825105.0,0.805,26.99,,,
3550407,São Pedro,Piracicaba,Piracicaba,38256,1243177.0,0.755,17.75,,,
3550506,São Pedro do Turvo,Ourinhos,Assis,7217,393936.0,0.703,15.08,,,
3550605,São Roque,Sorocaba,Macro Metropolitana Paulista,79484,4532567.0,0.768,46.31,,,
3550704,São Sebastião,Caraguatatuba,Vale do Paraíba Paulista,81595,17400619.0,0.772,88.52,,,
3550803,São Sebastião da Grama,São João da Boa Vista,Campinas,10441,481876.0,0.701,22.39,,,
3550902,São Simão,Ribeirão Preto,Ribeirão Preto,13442,648092.0,0.766,19.68,,,
3551009,São Vicente,Santos,Metropolitana de São Paulo,329911,7414656.0,0.768,68.83,,,
3551108,Sarapuí,Sorocaba,Macro Metropolitana Paulista,10369,270123.0,0.707,16.89,,,
3551207,Sarutaiá,Ourinhos,Assis,3704,115635.0,0.688,17.89,,,
3551306,Sebastianópolis do Sul,Nhandeara,São José do Rio Preto,3130,454542.0,0.773,12.1,,,
3551405,Serra Azul,Ribeirão Preto,Ribeirão Preto,12746,269297.0,0.686,17.71,,,
3551504,Serrana,Ribeirão Preto,Ribeirão Preto,43909,1454535.0,0.729,9.25,,,
3551603,Serra Negra,Amparo,Campinas,29894,1025007.0,0.767,19.8,,,
3551702,Sertãozinho,Ribeirão Preto,Ribeirão Preto,126887,9075018.0,0.761,5.14,,,
3551801,Sete Barras,Registro,Litoral Sul Paulista,12730,461849.0,0.673,79.04,,,
3551900,Severínia,Catanduva,São José do Rio Preto,14576,340597.0,0.715,5.38,,,
3552007,Silveiras,Bananal,Vale do Paraíba Paulista,6186,116266.0,0.678,31.81,,,
3552106,Socorro,Amparo,Campinas,40122,1449301.0,0.729,12.64,,,
3552205,Sorocaba,Sorocaba,Macro Metropolitana Paulista,723682,58816286.0,0.798,11.48,,,
3552304,Sud Mennucci,Andradina,Araçatuba,7355,302801.0,0.747,3.44,,,
3552403,Sumaré,Campinas,Campinas,279545,19026093.0,0.762,2.17,,,
3552502,Suzano,Mogi das Cruzes,Metropolitana de São Paulo,307429,18618698.0,0.765,30.36,,,
3552551,Suzanápolis,Andradina,Araçatuba,3408,511504.0,0.699,5.64,,,
3552601,Tabapuã,Catanduva,São José do Rio Preto,11323,397691.0,0.735,8.55,,,
3552700,Tabatinga,Araraquara,Araraquara,14769,512361.0,0.704,9.84,,,
3552809,Taboão da Serra,Itapecerica da Serra,Metropolitana de São Paulo,273542,12084179.0,0.769,6.0,,,
3552908,Taciba,Presidente Prudente,Presidente Prudente,6260,242091.0,0.723,8.2,,,
3553005,Taguaí,Ourinhos,Assis,12669,409335.0,0.709,10.04,,,
3553104,Taiaçu,Jaboticabal,Ribeirão Preto,5677,155640.0,0.71,6.1,,,
3553203,Taiúva,Jaboticabal,Ribeirão Preto,6548,188353.0,0.76,4.35,,,
3553302,Tambaú,São João da Boa Vista,Campinas,21435,966714.0,0.731,18.76,,,
3553401,Tanabi,São José do Rio Preto,São José do Rio Preto,25265,1592467.0,0.748,9.41,,,
3553500,Tapiraí,Piedade,Macro Metropolitana Paulista,7996,223954.0,0.681,89.73,,,
3553609,Tapiratiba,São João da Boa Vista,Campinas,11816,358653.0,0.751,22.79,,,
3553658,Taquaral,Jaboticabal,Ribeirão Preto,2619,92383.0,0.759,4.64,,,
3553708,Taquaritinga,Jaboticabal,Ribeirão Preto,52260,2307145.0,0.748,6.41,,,
3553807,Taquarituba,Itapeva,Itapetininga,24350,1279103.0,0.701,6.95,,,
3553856,Taquarivaí,Itapeva,Itapetininga,6876,433014.0,0.679,17.06,,,
3553906,Tarabai,Presidente Prudente,Presidente Prudente,6536,187171.0,0.726,4.94,,,
3553955,Tarumã,Assis,Assis,14882,1153083.0,0.753,3.74,,,
3554003,Tatuí,Tatuí,Itapetininga,123942,6784535.0,0.752,8.57,,,
3554102,Taubaté,São José dos Campos,Vale do Paraíba Paulista,310739,22607800.0,0.8,20.9,,,
3554201,Tejupá,Ourinhos,Assis,4127,341127.0,0.668,18.31,,,
3554300,Teodoro Sampaio,Presidente Prudente,Presidente Prudente,22173,822760.0,0.741,28.03,,,
3554409,Terra Roxa,Jaboticabal,Ribeirão Preto,7904,237426.0,0.749,5.23,,,
3554508,Tietê,Piracicaba,Piracicaba,37663,2954948.0,0.778,8.46,,,
3554607,Timburi,Ourinhos,Assis,2464,80268.0,0.71,28.83,,,
3554656,Torre de Pedra,Tatuí,Itapetininga,2046,44087.0,0.714,26.61,,,
3554706,Torrinha,Rio Claro,Piracicaba,9335,380075.0,0.744,11.47,,,
3554755,Trabiju,Araraquara,Araraquara,1682,66641.0,0.722,16.21,,,
3554805,Tremembé,São José dos Campos,Vale do Paraíba Paulista,51173,1091771.0,0.785,24.94,,,
3554904,Três Fronteiras,Jales,São José do Rio Preto,6804,155505.0,0.753,2.61,,,
3554953,Tuiuti,Bragança Paulista,Macro Metropolitana Paulista,6778,239682.0,0.728,13.29,,,
3555000,Tupã,Tupã,Marília,63928,3128302.0,0.771,5.73,,,
3555109,Tupi Paulista,Dracena,Presidente Prudente,15854,446938.0,0.769,3.08,,,
3555208,Turiúba,Birigui,Araçatuba,1818,88091.0,0.751,7.99,,,
3555307,Turmalina,Fernandópolis,São José do Rio Preto,1669,100226.0,0.736,6.37,,,
3555356,Ubarana,São José do Rio Preto,São José do Rio Preto,5365,298746.0,0.7,5.17,,,
3555406,Ubatuba,Caraguatatuba,Vale do Paraíba Paulista,92981,3506919.0,0.751,92.24,,,
3555505,Ubirajara,Bauru,Bauru,5132,201026.0,0.727,13.85,,,
3555604,Uchoa,São José do Rio Preto,São José do Rio Preto,10394,521824.0,0.721,7.16,,,
3555703,União Paulista,Nhandeara,São José do Rio Preto,1603,72244.0,0.749,8.13,,,
3555802,Urânia,Jales,São José do Rio Preto,8833,366620.0,0.746,4.21,,,
3555901,Uru,Bauru,Bauru,1387,66750.0,0.712,3.2,,,
3556008,Urupês,Novo Horizonte,São José do Rio Preto,13744,647135.0,0.745,7.14,,,
3556107,Valentim Gentil,Votuporanga,São José do Rio Preto,14098,565653.0,0.735,10.42,,,
3556206,Valinhos,Campinas,Campinas,126373,10200701.0,0.819,14.76,,,
3556305,Valparaíso,Araçatuba,Araçatuba,24241,1426927.0,0.725,8.16,,,
3556354,Vargem,Bragança Paulista,Macro Metropolitana Paulista,10512,222012.0,0.699,26.47,,,
3556404,Vargem Grande do Sul,São João da Boa Vista,Campinas,40133,1431642.0,0.737,10.05,,,
3556453,Vargem Grande Paulista,Itapecerica da Serra,Metropolitana de São Paulo,50415,3524293.0,0.77,24.34,,,
3556503,Várzea Paulista,Jundiaí,Macro Metropolitana Paulista,115771,4736062.0,0.759,18.16,,,
3556602,Vera Cruz,Marília,Marília,10176,302805.0,0.754,17.56,,,
3556701,Vinhedo,Campinas,Campinas,76540,14699664.0,0.817,17.53,,,
3556800,Viradouro,Jaboticabal,Ribeirão Preto,17414,563836.0,0.739,3.74,,,
3556909,Vista Alegre do Alto,Jaboticabal,Ribeirão Preto,8109,705941.0,0.744,4.36,,,
3556958,Vitória Brasil,Jales,São José do Rio Preto,1794,64481.0,0.725,3.63,,,
3557006,Votorantim,Sorocaba,Macro Metropolitana Paulista,127923,5209654.0,0.767,24.72,,,
3557105,Votuporanga,Votuporanga,São José do Rio Preto,96634,4582203.0,0.79,9.7,,,
3557154,Zacarias,São José do Rio Preto,São José do Rio Preto,2692,177562.0,0.729,4.36,,,
3557204,Chavantes,Ourinhos,Assis,12211,477220.0,0.729,7.62,,,
3557303,Estiva Gerbi,Mogi Mirim,Campinas,11295,532212.0,0.74,11.02,,,
